,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3
36,China,2020-11-29 12:27:23,30.5928,114.3055,92796.0,4743.0,86980.0,1073.0,6.606219384361662,,,5.111211690159059,156,CHN
37,Colombia,2020-11-29 12:27:23,4.5709,-74.2973,1299613.0,36401.0,1197204.0,66008.0,2554.126059364088,,,2.8009107326565683,170,COL
38,Comoros,2020-11-29 12:27:23,-11.6455,43.3333,611.0,7.0,586.0,18.0,70.26259350617241,,,1.1456628477905073,174,COM
39,Congo (Brazzaville),2020-11-29 12:27:23,-0.228,15.8277,5774.0,94.0,4988.0,692.0,104.63761749532264,,,1.6279875303082785,178,COG
40,Congo (Kinshasa),2020-11-29 12:27:23,-4.0383,21.7587,12608.0,333.0,11495.0,780.0,14.077492577048035,,,2.641180203045685,180,COD
41,Costa Rica,2020-11-29 12:27:23,9.7489,-83.7534,137093.0,1690.0,84991.0,50412.0,2691.204005249981,,,1.2327398189550158,188,CRI
42,Cote d'Ivoire,2020-11-29 12:27:23,7.54,-5.5471,21261.0,131.0,20912.0,218.0,80.60041833668045,,,0.6161516391514981,384,CIV
43,Croatia,2020-11-29 12:27:23,45.1,15.2,126612.0,1712.0,101838.0,23062.0,3084.1348238409773,,,1.3521625122421257,191,HRV
44,Cuba,2020-11-29 12:27:23,21.521757,-77.78116700000002,8173.0,133.0,7554.0,486.0,72.15747404167317,,,1.627309433500551,192,CUB
45,Cyprus,2020-11-29 12:27:23,35.1264,33.4299,10231.0,48.0,2057.0,8126.0,847.3853304852486,,,0.4691623497214348,196,CYP
46,Czechia,2020-11-29 12:27:23,49.8175,15.473,518649.0,8054.0,442327.0,68268.0,4843.12140967274,,,1.5528806572460374,203,CZE
47,Denmark,2020-11-29 12:27:23,56.2639,9.5018,78874.0,823.0,61977.0,16074.0,1361.7271355993566,,,1.0434363668636053,208,DNK
48,Diamond Princess,2020-11-29 12:27:23,,,712.0,13.0,659.0,40.0,,,,1.8258426966292132,9999,
